data_id;hb_state;cm4_state;pp_thrust;av_alti;tvc_thrust;tvc_alti;tvc_vel;padding;time
388;2;1;0;0;3000;41;2463;0;38052
389;2;1;0;0;3000;41;2463;0;38052
390;2;1;0;0;3000;41;2463;0;38072
391;2;1;0;0;3000;41;2463;0;38072
392;2;1;0;0;3000;41;2463;0;38082
393;2;1;0;0;3000;41;2463;0;38092
394;2;1;0;0;3000;41;2463;0;38112
395;2;1;0;0;3000;41;2463;0;38112
396;2;1;0;0;3000;41;2463;0;38122
397;2;1;0;0;3000;41;2463;0;38142
398;2;1;0;0;3000;41;2463;0;38142
399;2;1;0;0;3000;41;2463;0;38162
400;2;1;0;0;3000;41;2463;0;38162
401;2;1;0;0;3000;41;2463;0;38172
402;2;1;0;0;3000;41;2463;0;38182
403;2;1;0;0;3000;41;2463;0;38192
404;2;1;0;0;3000;41;2463;0;38212
405;2;1;0;0;3000;41;2463;0;38232
406;2;1;0;0;3000;41;2463;0;38232
407;2;1;0;0;3000;41;2463;0;38242
408;2;1;0;0;3000;41;2463;0;38252
409;2;1;0;0;3000;41;2463;0;38262
410;2;1;0;0;3000;41;2463;0;38262
411;2;1;0;0;3000;41;2463;0;38282
412;2;1;0;0;3000;41;2463;0;38282
413;2;1;0;0;3000;41;2463;0;38302
414;2;1;0;0;3000;41;2463;0;38322
415;2;1;0;0;3000;41;2463;0;38322
416;2;1;0;0;3000;41;2463;0;38332
417;2;1;0;0;3000;41;2463;0;38332
418;2;1;0;0;3000;41;2463;0;38342
419;2;1;0;0;3000;41;2463;0;38352
420;2;1;0;0;3000;41;2463;0;38362
421;2;1;0;0;3000;41;2463;0;38362
422;2;1;0;0;3000;41;2463;0;38372
423;2;1;0;0;3000;41;2463;0;38372
424;2;1;0;0;3000;41;2463;0;38392
425;2;1;0;0;3000;41;2463;0;38412
426;2;1;0;0;3000;41;2463;0;38412
427;2;1;0;0;3000;41;2463;0;38422
428;2;1;0;0;3000;41;2463;0;38442
429;2;1;0;0;3000;41;2463;0;38442
430;2;1;0;0;3000;41;2463;0;38462
431;2;1;0;0;3000;41;2463;0;38462
432;2;1;0;0;3000;41;2463;0;38482
433;2;1;0;0;3000;41;2463;0;38482
434;2;1;0;0;3000;41;2463;0;38502
435;2;1;0;0;3000;41;2463;0;38512
436;2;1;0;0;3000;41;2463;0;38522
437;2;1;0;0;3000;41;2463;0;38532
438;2;1;0;0;3000;41;2463;0;38542
439;2;1;0;0;3000;41;2463;0;38542
440;2;1;0;0;3000;41;2463;0;38562
441;2;1;0;0;3000;41;2463;0;38562
442;2;1;0;0;3000;41;2463;0;38582
443;2;1;0;0;3000;41;2463;0;38582
444;2;1;0;0;3000;41;2463;0;38602
445;2;1;0;0;3000;41;2463;0;38622
446;2;1;0;0;3000;41;2463;0;38622
447;2;1;0;0;3000;41;2463;0;38632
448;2;1;0;0;3000;41;2463;0;38642
449;2;1;0;0;3000;41;2463;0;38652
450;2;1;0;0;3000;41;2463;0;38652
451;2;1;0;0;3000;41;2463;0;38672
452;2;1;0;0;3000;41;2463;0;38672
453;2;1;0;0;3000;41;2463;0;38692
454;2;1;0;0;3000;41;2463;0;38712
455;2;1;0;0;3000;41;2463;0;38712
456;2;1;0;0;3000;41;2463;0;38722
457;2;1;0;0;3000;41;2463;0;38722
458;2;1;0;0;3000;41;2463;0;38742
459;2;1;0;0;3000;41;2463;0;38742
460;2;1;0;0;3000;41;2463;0;38762
461;2;1;0;0;3000;41;2463;0;38762
462;2;1;0;0;3000;41;2463;0;38782
463;2;1;0;0;3000;41;2463;0;38782
464;2;1;0;0;3000;41;2463;0;38802
